job title,company name,location,publish date,skills
Développeur Python H/F,BERGER-LEVRAULT,Andrézieux-Bouthéon (42),il y a 9 jours,"
Au sein du Pôle Santé Social, votre mission consiste à prendre part aux développements de notre produit Expert Santé.
Rédiger la documentation du code.
"
Développeur Java-Python BORDEAUX H/F,Capgemini,Bordeaux (33),il y a 14 jours,"
Avec plus de 200 000 collaborateurs, Capgemini est présent dans plus de 40 pays.
Nous recherchons un(e) Développeur(se) Java-Python.
"
! New Janvier 2019 ! Développeur.se Python / Django Junior,Askin,Lyon (69),il y a 30+ jours,"
Vous avez une bonne connaissance du développement web front-end (HTML, CSS, Javascript – React est un plus) ou vous souhaitez l’acquérir dans une optique de…
"
nouveauAlternant Développeur PYTHON H/F,2itech Academy,Lyon 7e (69),Publiée à l'instant,"
Gérer des projets d’applications professionnelles destinées à des clients,.
Gérer les interfaces sous PYTHON et Vue JS.
Tu connais le Framework VueJS.
"
nouveauDéveloppeur & Analyste Quantitatif ALM - Python H/F,Crédit Agricole CIB,Montrouge (92),il y a 4 jours,"
Les six mois de stage se dérouleront en France au siège du Crédit agricole-CIB à Montrouge.
Mener des études quantitatives dans un environnement ALM.
"
nouveauDÉVELOPPEUR PYTHON - H/F,Talan,Nantes (44),il y a 3 jours,"
La rédaction des spécifications fonctionnelles et techniques.
Concevoir et réaliser la solution.
Réaliser la correction des anomalies éventuelles.
"
Développeur(se) BackEnd Python,lamarckise,Paris (75),il y a 30+ jours,"
Si tu souhaites évoluer dans une Start-up en plein développement, Lamarckise est faite pour toi !
"
nouveauDéveloppeuse / développeur C++ Python,Scalian,Rennes (35),il y a 2 jours,"
Vous êtes développeuse / développeur C++ ou vous souhaitez le devenir !
Au sein d’une activité de 50 personnes spécialisée en informatique scientifique, vous…
"
nouveauDéveloppeur Python (H/F),Orange,Villejuif (94),il y a 4 jours,"
Assurer la maintenance et l'évolution des briques logicielles existantes.
Contribuer au support N3 des briques logicielles développées.
"
nouveauDéveloppeur Python - Nantes - F/H,TECH VALLEY,Nantes (44)+ 1 lieu,il y a 7 jours,"
Maîtrise confirmée de Python, C, C++.
Compétences complémentaires : Django, Web Services, XML, Api Rest, Javascript, HTML, CSS, Angular, Bootstrap, SVN, Git ou…
"
Développeur R / Python,Synchrone,Paris (75),il y a 8 jours,"
Participer à la conception, à l’architecture et à l’industrialisation du développement.
S’assurer de la qualité des développements en respectant les normes et…
"
[Finance] Développeur.se Python Junior (F/H),Meritis,Paris (75)+ 3 lieux,il y a 30+ jours,"
Vos codes sont aussi beaux, rigoureux et concis que l’est votre meilleur ami reptilien.
Evoluer dans un environnement où l’apprentissage est favorisé.
"
nouveauConsultant Junior - Développeur API/ Microservices / Python...,Devoteam,Levallois-Perret (92),il y a 7 jours,"
Concevoir et développer des microservices et des API Rest.
Plateforme de type ESB/ETL (TIBCO, MuleSoft, Webmethods, Talend,...).
"
nouveauIngénieur Traitement d'Image & Intelligence Artificielle H/F,Safran,Massy (91),il y a 2 jours,"
Les modèles algorithmiques sont aujourd'hui souvent construits avec des techniques d'Intelligence Artificielle apportent une rupture technologique sur ces…
"
nouveauIngénieur Suivi des Performances Energétiques (H/F),Certinergy,Angers (49),Aujourd'hui,"
Acteur impliqué dans la transition énergétique depuis 2008, CertiNergy & Solutions, filiale d’ENGIE, accompagne les entreprises et collectivités à réaliser des…
"
